site_id,sample_id,lon,lat,collection_date,lon_cru,lat_cru,time,tmp
N01,Soil_N01_2,36.16786,-86.80898,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N02,Soil_N02_1,36.16786,-86.80898,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N02,Soil_N02_2,36.16786,-86.80898,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N03,Soil_N03_1,36.1667,-86.80893,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N03,Soil_N03_2,36.1667,-86.80893,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N04,Soil_N04_1,36.16632,-86.80583,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N04,Soil_N04_2,36.16632,-86.80583,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N05,Soil_N05_1,36.16592,-86.80754,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
N05,Soil_N05_2,36.16592,-86.80754,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
P01,Soil_P01_1,37.231667,-77.419,2024-01-02,-77.25,37.25,2024-01-16,5.300000190734863
P01,Soil_P01_2,37.231667,-77.419,2024-01-02,-77.25,37.25,2024-01-16,5.300000190734863
P02,Soil_P02_1,37.229556,-77.42225,2024-01-02,-77.25,37.25,2024-01-16,5.300000190734863
P02,Soil_P02_2,37.229556,-77.42225,2024-01-02,-77.25,37.25,2024-01-16,5.300000190734863
P03,Soil_P03_1,37.235556,-77.413611,2024-01-03,-77.25,37.25,2024-01-16,5.300000190734863
P03,Soil_P03_2,37.235556,-77.413611,2024-01-03,-77.25,37.25,2024-01-16,5.300000190734863
P04,Soil_P04_1,37.2348699,-77.4133845,2024-01-03,-77.25,37.25,2024-01-16,5.300000190734863
P04,Soil_P04_2,37.2348699,-77.4133845,2024-01-03,-77.25,37.25,2024-01-16,5.300000190734863
P05,Soil_P05_1,37.235278,-77.416639,2024-01-04,-77.25,37.25,2024-01-16,5.300000190734863
P05,Soil_P05_2,37.235278,-77.416639,2024-01-04,-77.25,37.25,2024-01-16,5.300000190734863
S01,Soil_S01_1,47.6275429,-122.3320589,2023-08-14,-122.25,47.75,2023-08-16,19.899999618530273
S01,Soil_S01_2,47.6275429,-122.3320589,2023-08-14,-122.25,47.75,2023-08-16,19.899999618530273
S02,Soil_S02_1,47.6274891,-122.3302119,2023-08-14,-122.25,47.75,2023-08-16,19.899999618530273
S02,Soil_S02_2,47.6274891,-122.3302119,2023-08-14,-122.25,47.75,2023-08-16,19.899999618530273
CL01,Soil_CL01_1,33.49895,-80.85421,2024-09-21,-80.75,33.25,2024-09-16,24.80000114440918
CL01,Soil_CL01_2,33.49895,-80.85421,2024-09-21,-80.75,33.25,2024-09-16,24.80000114440918
CL02,Soil_CL02_1,33.08826,-82.2249,2024-10-01,-82.25,33.25,2024-09-16,24.200000762939453
CL02,Soil_CL02_1,33.08826,-82.2249,2024-10-01,-82.25,33.25,2024-10-16,18.700000762939453
CL02,Soil_CL02_2,33.08826,-82.2249,2024-10-01,-82.25,33.25,2024-09-16,24.200000762939453
CL02,Soil_CL02_2,33.08826,-82.2249,2024-10-01,-82.25,33.25,2024-10-16,18.700000762939453
CL03,Soil_CL03_1,33.56996,-80.85672,2024-09-20,-80.75,33.75,2024-09-16,24.100000381469727
CL03,Soil_CL03_2,33.56996,-80.85672,2024-09-20,-80.75,33.75,2024-09-16,24.100000381469727
CL04,Soil_CL04_1,33.47755,-81.97323,2024-09-28,-81.75,33.25,2024-09-16,25
CL04,Soil_CL04_2,33.47755,-81.97323,2024-09-28,-81.75,33.25,2024-09-16,25
F06,Soil_F06_1,36.832175,-119.692045,2024-06-15,-119.75,36.75,2024-06-16,27.700000762939453
F06,Soil_F06_2,36.832175,-119.692045,2024-06-15,-119.75,36.75,2024-06-16,27.700000762939453
F07,Soil_F07_1,36.848366,-119.700831,2024-04-11,-119.75,36.75,2024-04-16,17.200000762939453
F07,Soil_F07_2,36.848366,-119.700831,2024-04-11,-119.75,36.75,2024-04-16,17.200000762939453
GA06,Soil_GA06_1,33.720117,-84.351272,2024-12-16,-84.25,33.75,2024-12-16,8.300000190734863
GA06,Soil_GA06_2,33.720117,-84.351272,2024-12-16,-84.25,33.75,2024-12-16,8.300000190734863
GA07,Soil_GA07_1,33.59398,-83.86084,2024-12-18,-83.75,33.75,2024-12-16,8.300000190734863
GA07,Soil_GA07_2,33.59398,-83.86084,2024-12-18,-83.75,33.75,2024-12-16,8.300000190734863
GC01,Soil_GC01_1,40.71637,-74.06661,2024-03-13,-74.25,40.75,2024-03-16,7.800000190734863
GC01,Soil_GC01_2,40.71637,-74.06661,2024-03-13,-74.25,40.75,2024-03-16,7.800000190734863
JC01,Soil_JC01_1,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_2,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_3,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_4,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_5,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_6,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_7,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_8,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_9,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
JC01,Soil_JC01_10,40.72464,-74.080939,2024-11-24,-74.25,40.75,2024-11-16,9.699999809265137
ME01,Soil_ME01_1,37.365386,-120.421913,2024-09-16,-120.25,37.25,2024-09-16,24.200000762939453
ME01,Soil_ME01_2,37.365386,-120.421913,2024-09-16,-120.25,37.25,2024-09-16,24.200000762939453
ND01,Soil_ND01_1,46.759593,-100.755857,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND01,Soil_ND01_2,46.759593,-100.755857,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND02,Soil_ND02_1,46.75999,-100.75502,2024-09-24,-100.75,46.75,2024-09-16,18.80000114440918
ND02,Soil_ND02_2,46.75999,-100.75502,2024-09-24,-100.75,46.75,2024-09-16,18.80000114440918
ND03,Soil_ND03_1,46.7609345,-100.7539972,2024-09-24,-100.75,46.75,2024-09-16,18.80000114440918
ND03,Soil_ND03_2,46.7609345,-100.7539972,2024-09-24,-100.75,46.75,2024-09-16,18.80000114440918
ND04,Soil_ND04_1,46.763972,-100.75618,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND04,Soil_ND04_2,46.763972,-100.75618,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND05,Soil_ND05_1,46.763836,-100.75957,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND05,Soil_ND05_2,46.763836,-100.75957,2024-09-23,-100.75,46.75,2024-09-16,18.80000114440918
ND06,Soil_ND06_1,46.76369,-100.75822,2023-12-06,-100.75,46.75,2023-12-16,-2.200000047683716
ND06,Soil_ND06_2,46.76369,-100.75822,2023-12-06,-100.75,46.75,2023-12-16,-2.200000047683716
ND07,Soil_ND07_1,NA,NA,2024-11-14,NA,NA,NA,NA
ND07,Soil_ND07_2,NA,NA,2024-11-14,NA,NA,NA,NA
ND08,Soil_ND08_1,NA,NA,2024-11-14,NA,NA,NA,NA
ND08,Soil_ND08_2,NA,NA,2024-11-14,NA,NA,NA,NA
ND09,Soil_ND09_1,NA,NA,2024-11-14,NA,NA,NA,NA
ND09,Soil_ND09_2,NA,NA,2024-11-14,NA,NA,NA,NA
ND10,Soil_ND10_1,NA,NA,2024-11-14,NA,NA,NA,NA
ND10,Soil_ND10_2,NA,NA,2024-11-14,NA,NA,NA,NA
OK01,Soil_OK01_1,35.891389,-94.952778,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK01,Soil_OK01_2,35.891389,-94.952778,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK01,Soil_OK01_3,35.891389,-94.952778,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK01,Soil_OK01_4,35.891389,-94.952778,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK02,Soil_OK02_1,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
